979303	все просто - проголосовал за путина - мать сдохламатери нет, зато крым есть, бах!
979767	расскажи пожалуйства в каких обстоятельствах и когда ты совершила выбор за вора Сердюкова?
979767	Блять, какая же показушная оттепель... От этого еще более тошно становится.
979767	Та ладно!!!
979732	ахахах))
979492	в Чертаново (специально ходили туда на Притяжение, лол) :D
979732	а вот мне только что из омска позвонили, и сказали, что не горит. Кому верить?
979145	Да какая конкретика нах. Абсолютно бесполезный, бесперспективный, ни разу стратегически не важный кусок неплодородной, ландшафтно бедной, убогой землицы.
979627	И почему ты будешь голосовать за него?
979590	Пацана бы отпустили который из-за шлюхи на восьмеру сел
979106	сейчас уже новые методички завезли. республиканцы (в т.ч. буш) - наши братушки, а демократы - противники. не путай, пожалуйста
979084	ниче что далай-лама сам атеист?
979058	Душевно 
979121	Бэха тоже с автопроката?
979084	Ой, все
979145	потому что лица с "документами лнрлнр" согласно Закону о правовом положении иностранных граждан в РФ являются для РФ иностранцами по безвизу и гражданами Украины. Процедура получения гражданства одинакова для всех и она не проста и продолжительна.
979303	это вот откуда вы взяли? Подобное возможно только после очередной операции "Преемник". А вот когда вступивший на пост будет знать что он и его товарищи НЕИЗБЕЖНО сядут и надолго по окончании срока полномочий, то ему придётся крепко подумать прежде чем начать воровать....
979627	Жириновский лучший !
979106	Да он особо и не поднимался.
979627	Почти 30 лет сидит у кормушки, чешет языком, устраивает потеху, а быдланы верят в эти бредни и голосуют же! Но при любом раскладе голос за него = голосу на едро!)
979526	Путинца ...ссссжжжжалился..о благодетель...Человек и так не виновен ни в чём....вовик очки наберает...с😈ка.
979590	Оттепель началась
979303	Как же блять удобно. Сначала мы хайпимся на Крыме. Потом мы пытаемся хайпиться на Крыме второй раз при проведении выборов
979106	Как только бедных малайцев не обозвали: малайзийцы, малазийцы, малайзицы
979732	впереди планеты всей по добыче газа чтобы набить карманы шайки ворья
979808	вчера из репортажа в новой: "В Русской православной церкви действительно существует бюрократическая процедура поверки мироточения. Есть даже экспертная группа по изучению чудесных знамений. По решению местной епархии создается «следственная» комиссия, которая изучает происхождение миро, а при необходимости помещает мироточащий объект в киот и опечатывает его. Если объект продолжает «плакать» и взаперти — значит, он мироточив.  Следует скорее поместить бюст Николая II под «домашний арест» для обстоятельного наблюдения. Надзор за исполнением процедуры можно возложить на прокуратуру Крыма, возле которой и установлен памятник." 
979767	блин, вот ты вроде правду щас сказала, но как же ватно у тебя это получилось. Напоминаю, всё это дерьмо делает правительство США и ЕС, простых людей не приплетайте
979627	а что он сделал против этого? наверное ничего
979121	Это лол конечно 😂😂
979590	Ну если это подготовка к выборам, то эта тенденция показывает насколько у нас гнилая судебная система и при какой власти она таковой стала. Вывод: голосовать и выбирать новую власть.А есть ли другая причина происходящего? Медуза, расскажи, что происходит
979808	А Поклонскую не исследовали?!
979808	ты на медузе, чувак
979145	причем здесь крым? они не ходят работать с "гражданами" не существующего государства
979240	Когда новые КРЕСТЫ, в Колпино,откроют?!😎
979590	Да, а то террористка в тюрьме сидит, не хорошо
979356	пусть эта половина мира пристегнет недостающую ногу. не надо спекулировать этим!
979767	значит ты тут глагольствуешь про агрессию, а сама готова погубить миллионы невинных людей ядерным ударом?Теперь думаю понятно, почему Россия считается главным агрессором на мировой аренею
979438	Как можно так палевео действовать? Я про все эти амнистии.
979145	Главное, что Крым российский для нас, жителей Крыма. Разные сложности с банками, визами, проблемы с бизнесом временные. Крым - неотъемлемая часть России, польза и прибыль от которой несомненна, и пойдет она на благо всему российскому народу.
979438	Это теперь что - всех беспредельщиков выпустят?! Она же выйдет и снова SMS напишет! Свобода - не вседозволенность! Если так дальше пойдет - это ж скоро за репост сажать перестанут.
979145	Сам этот паспорт не получал. Выехал на укр территорию, получил украинский и радуюсь жизни 😊Правда менты при проверке спрашивают - че наш не получил?
979808	Мироточишь небось?
979590	Соколовский где? Сажают просто так,потом освобождают. Все довольны. Шапито реально.
979145	А должны сломя голову разбрасывать деньги что-ли?
979303	ну! А я что говорил! 😊 😊 😊
979627	и . . .  
