29534144	4645295	Большинство россиян перестало покупать одежду - денег нет
29534144	4645927	Датчанин отшил с помощью цитат из песни Адель "Hello" мошенницу, которая хотела срубить деньжат на нём
29534144	4646476	Псс, парень, не хочешь немного Телеграма?
29534144	4646861	Сегодня мусульмане отмечают Ураза-байрам.В Москве, например, на улицы города вышло порядка 200 тысяч верующих. Пособирали фоточек с ивента
29534144	4647408	Деньги в Резервном фонде РФ закончатся в 2017 году. Вспоминаем цитаты великих
29534144	4648080	Футболисты сборной Кокорин и Мамаев пробухали за ночь €250 000 под звуки гимна России и бенгальские огни в Монте-Карло
29534144	4648664	По абонементу на оба дня фестиваля Park Live получают 301258|Ангелина Пономарева] и 43024854|Сергей Карнеев]. Поздравляем! Купить билеты на любой из дней или абонемент на оба можно тут 
29534144	4649261	Россияне рассказали, с чем у них ассоциируется слово "свобода"
29534144	4649919	В последнее время нас часто спрашивают: "А есть ли у Лентача канал в телеграмме?". Даже не знаем, отчего такой шквал вопросов. Многие пишут: "Хороший паблик, жаль канала в телеграмме нет". И знаете, у нас есть канал в телеграмме, просто о нем мало кто знает.Вот он, подписывайтесь: напоминать о нем почаще. Раз уж вам так интересно.
29534144	4650208	Павел Мамаев переведён в молодёжный состав «Краснодара»; Минсельхоз попросил у правительства дополнительные 23 млрд рублей; стала известна стоимость билетов на чемпионат мира по футболу 2018
29534144	4650805	Счетная палата не смогла найти автоматическую систему по расследованию таможеных преступлений, на создание которой потратили $2500000
29534144	4651140	74% россиян боятся потерять работу
29534144	4651478	В Ростовской области полицейский угрозами заставил мужика опубликовать свастику для улучшения показателей борьбы с экстремизмом
29534144	4651927	Компьютеры в США займутся пересмотром тюремных сроков
29534144	4652261	В Крыму призвали Британию перестать смотреть на Россию «глазами Черчилля»
29534144	4652542	В Европе представили купюру в 50 евро
29534144	4652799	Владелец клуба в Монако рассказал, что футболисты не устраивали вечеринку, шампанское им подарили болельщики
29534144	4653989	Сегодня отмечается Всемирный день поцелуя
29534144	4654220	В Лондоне участились преступления на почве ненависти после решения о Brexit
29534144	4654455	Многодетного отца, устроившего одиночный пикет, оштрафовали за несанкционированный митинг
