63976,ну спорить не буду, я взял из левой статьи в интернете, книга как источник получше
64692,тут не про Польшу и речь
64692,польша это дырявая хрень мира
64616,кулаки можно сломать если они класс
63976,харакири что ли))$$
64703,Рожа ди Каприо, шо за хрень?
63976,я видимо ошибся, я посмотрел еще раз, по одной из версий он отказался принимать пищу и заморил себя голодом.
63976,нормально так
64636,кроме ледоруба
64636,боже, придумай что-то по смешнее, по раскинь мозгами
63976,сеппуку
64745,ТРУ ЗЕ ГЕЙТС ОФ ХЭЛ. АС УИ ГОТ АУЭР ЭЙ ТУ ХЕАВЕН, ТРУ ЗЕ НАЗИ ЛААААААЙНС.ПрИмО вИкТоРиЙАААА!!!!!
64636,ничего в голову не приходит
64678,вечная ага
64678,а как же целина и кукуруза? Перебил скот, чтобы перегнать США в производстве мяса - результат был предсказуем)
64612,Кэп, ты сейчас как никогда нужен.
63976,не, от пневмании же , или голодом уморил себя
63976,и полицейский его ударил?)
64627,А есть ли такая карта, только всей Европы и в хорошем качестве?
63976,а там вообще сложная ситуация, кто-то говорит что Цуда сам напал, кто-то что его Коля обидел.
64636,Обнуляй., спс
64678,да я вообще такого мнения,что после смерти Иосифа Виссарионовича все по пизде начало идти 😆
64703,На вид какой то внебрачный сын Эдварда Нортона и Ленина
64616,А кулаков можно сослать 
64630,а что между ними было?
63976,он получил от полицейского за неуважение, он задел его, вроде
63976,сеппку производится с отрубанием головы, а харакири-просто самоубийство
64643,Да это он не закусил просто.
64678,ну у каждого свои + и - . :D
64703,шокирующее фото, Ленин пиздит оружие у германии для революции
63976,он совершил суицид-живот разрезал.
64692,польша не мир
63976,это тоже верно, но во время сеппуки назначается кайсяку, который и отрубает голову
64692,Заебали про вторую мировую однообразное лепитьБольше ничегг и не знаете
63976,Судя по событиям в Оцу, он тоже себя не очень вел...
64661,😌👍
64643,Шкура пропившая страну!
64612,липтон
64643,Алкаш
64643,Почему Ельцин и Трамп похожи?
64636,лучший комент по мнению одмена обнуляя
64678,Завтра на парах будет семинар по Кукурузвельту. 22 съезд. Никитка дел наворотил, конечно))0 Столько напиздеть, это же надо было постараться, у него прям пятилетка по пиздежу была перевыполнена)
64630,Октавиан Август и Марк Антоний.
64616,так требую подсказки пикчи!
64678,не-а,пиздеж - самое то.
