29534144	26461152	Пикча с гитлером и "мое уважение" была уже?	0	0	NaN	NaN
29534144	79975619	Это индийский сериал про Навальгитлера?	0	0	NaN	NaN
76982440	174237054	Это политика. Либо просто бездарность. Это относится также к Украине и тому же Евросоюзу. К сожалению не могу прекращать беседу: я не владею сколько нибудь точной инфой, а дези я уже насмотрелся достаточно с разных сторон. Что наши фигню несут (укрофашисты, хотя таковых меньшинство), самообстрелы в украинских СМИ, снова укрофашисты (уже ДНР СМИ).	1	0	NaN	NaN
76982440	399763555	То что никогда не покажет РосГеббельсТВ. Представители "русского мира" расстреливают одесситов.  	1	0	NaN	NaN
29534144	88737767	адрес полиции в фашистской Одессе) Еврейская улица	0	0	NaN	NaN
54669107	292603561	Геббельс-дрищ	1	0	Волгоград	Канада
29534144	406012224	Я вот что хочу узнать,сколько раз свидетели Иеговы совершали теракты,сколько погибло людей от их рук,сколько ракет они именем Бога благославляли,сколько раз выходили с проклятиями в адрес властей или других религий,сколько раз они брали в заложники,сколько раз не платили налоги.? В чём их экстремизм,я честное слова не свидетель Иеговы ,но имел с ними общения и сейчас имею,не изучаю а просто общаюсь. Власти перед 9 мая совершили фашистский акт.Мне жаль,но сегодня вынесен приговор не свидетелям Иеговы а властям России,это просто низко и подло. Конец не для свидетелей,а конец для страны,и это факт.	0	0	NaN	NaN
76982440	38870257	Гитлер тоже имел свое мнение.	1	0	NaN	NaN
29534144	200541243	Что за шизофрения? Нет такого закона у народов Дагестана. То ли какая то поехавшая семья была, то ли просто враки какой то обиженной дурочки.	0	0	NaN	NaN
29534144	180065651	Почему наши просто не бойкотируют этот конкурсОн же в "фашисткой" Украине проходит!	0	0	NaN	NaN
29534144	6812316	Странно, что нету истерий от зоофашистов и веганов ))	0	0	NaN	NaN
76982440	41317058	Господа, скиньте кто-то оригинал видео, где Навальный -> Гитлер😂Всё никак не могу найти этот эпик фейл(	1	0	NaN	NaN
29534144	106859	Берут сомнения насчёт низкой преступности в Дагестане так же как о хорошем состоянии больниц в Псковской области...	0	0	NaN	NaN
29534144	4816350	Ну вообще конечно замечательно, что гомофобы тут представлены всякими религиозными фанатиками, необразованными деревенщинами и прочими нурдалетами. Я даже понимаю почему Лентач не удаляет их зачастую фашистские комментарии – чтобы адекватные люди видели, что гомофобия – это удел слабоумных и полных ненависти уродов.	0	0	NaN	NaN
29534144	14723964	Ну в принципе это задумывалось как провокация, которая сработает со 100 % гарантией, а что вы хотели, подать заявку на гейпарад в Чечне или Дагестане и ноль реакции ? Серьезно? А если подумать?	0	0	NaN	NaN
